Team,played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points,wages_millions_pounds
Manchester City,38,27,5,6,83,32,51,86,220.00
Manchester United,38,21,11,6,73,44,29,74,214.80
Liverpool,38,20,9,9,68,42,26,69,190.00
Chelsea,38,19,10,9,58,36,22,67,202.50
Leicester City,38,20,6,12,68,50,18,66,86.20
West Ham United,38,19,8,11,62,47,15,65,79.80
Tottenham Hotspur,38,18,8,12,68,45,23,62,151.50
Arsenal,38,18,7,13,55,39,16,61,175.00
Leeds United,38,18,5,15,62,54,8,59,31.40
Everton,38,17,8,13,47,48,-1,59,114.00
Aston Villa,38,16,7,15,55,46,9,55,55.70
Newcastle United,38,12,9,17,46,62,-16,45,63.00
Wolverhampton Wanderers,38,12,9,17,36,52,-16,45,75.90
Crystal Palace,38,12,8,18,41,66,-25,44,63.30
Southampton,38,12,7,19,47,68,-21,43,75.90
Brighton,38,9,14,15,40,46,-6,41,43.00
Burnley,38,10,9,19,33,55,-22,39,39.00
Fulham,38,5,13,20,27,53,-26,28,51.20
West Bromwich Albion,38,5,11,22,35,76,-41,26,45.60
Sheffield United,38,7,2,29,20,63,-43,23,28.60
